epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,45458.4,1.35314,0.93778,0.9931,0.79978,0.38999,0.47406,0.22646,1.62885,1.40183,1.13624,9.112e-05,9.112e-05,9.112e-05
80,45972.3,1.35358,0.9764,0.98852,0.60894,0.45197,0.46371,0.22058,1.63675,1.38985,1.13696,8.716e-05,8.716e-05,8.716e-05
81,46486.9,1.34378,0.93181,0.97453,0.70587,0.42357,0.44444,0.21781,1.67384,1.44234,1.1511,8.32e-05,8.32e-05,8.32e-05
82,47003,1.3265,0.92338,0.97691,0.76535,0.4185,0.46048,0.22082,1.64917,1.4501,1.15482,7.924e-05,7.924e-05,7.924e-05
83,47517.2,1.3363,0.93337,0.98059,0.71479,0.45535,0.46388,0.21553,1.66658,1.46139,1.14327,7.528e-05,7.528e-05,7.528e-05
84,48031.5,1.31051,0.90566,0.98277,0.5991,0.44554,0.4655,0.22649,1.61781,1.43193,1.11765,7.132e-05,7.132e-05,7.132e-05
85,48544.7,1.32815,0.9388,0.97053,0.72083,0.43376,0.46499,0.22297,1.63048,1.44951,1.13315,6.736e-05,6.736e-05,6.736e-05
86,49058.3,1.32251,0.91906,0.98969,0.76234,0.41908,0.45898,0.22304,1.63232,1.47506,1.13813,6.34e-05,6.34e-05,6.34e-05
87,49571.2,1.32085,0.93309,0.97957,0.7821,0.41737,0.46258,0.2251,1.62895,1.45643,1.12733,5.944e-05,5.944e-05,5.944e-05
88,50084.4,1.28799,0.89975,0.95947,0.72246,0.44292,0.45745,0.22502,1.62642,1.42989,1.12123,5.548e-05,5.548e-05,5.548e-05
89,50600,1.32926,0.93187,0.96282,0.6811,0.44759,0.44802,0.22066,1.61355,1.41056,1.1129,5.152e-05,5.152e-05,5.152e-05
90,51114,1.23181,0.8562,0.97206,0.69838,0.43206,0.45844,0.23021,1.61614,1.44102,1.11191,4.756e-05,4.756e-05,4.756e-05
91,51619.4,1.28492,0.85697,0.95607,0.65458,0.4282,0.45039,0.22077,1.64653,1.46454,1.13522,4.36e-05,4.36e-05,4.36e-05
92,52126.4,1.24164,0.8331,0.94366,0.75134,0.41992,0.4742,0.22701,1.64881,1.48784,1.13823,3.964e-05,3.964e-05,3.964e-05
93,52632.3,1.25658,0.82503,0.95322,0.77257,0.40198,0.45708,0.2284,1.64092,1.4644,1.13383,3.568e-05,3.568e-05,3.568e-05
94,53138.8,1.24044,0.81143,0.95124,0.66383,0.44306,0.46482,0.23176,1.6277,1.44964,1.13368,3.172e-05,3.172e-05,3.172e-05
95,53645.4,1.25218,0.81069,0.96124,0.67927,0.44873,0.4594,0.23331,1.62646,1.43139,1.12572,2.776e-05,2.776e-05,2.776e-05
96,54152.4,1.25459,0.8153,0.95527,0.71182,0.44177,0.46427,0.23392,1.61618,1.41423,1.11868,2.38e-05,2.38e-05,2.38e-05
97,54661,1.20506,0.79414,0.94336,0.73204,0.44025,0.46518,0.23617,1.62276,1.41812,1.12227,1.984e-05,1.984e-05,1.984e-05
98,55167.2,1.2041,0.79995,0.9495,0.7143,0.43724,0.46366,0.23362,1.63267,1.44149,1.12347,1.588e-05,1.588e-05,1.588e-05
99,55673.8,1.20736,0.77197,0.94351,0.73781,0.4397,0.46795,0.23505,1.63365,1.43196,1.12834,1.192e-05,1.192e-05,1.192e-05
100,56181.2,1.22878,0.77533,0.95687,0.72981,0.44485,0.47161,0.23679,1.6195,1.41544,1.12246,7.96e-06,7.96e-06,7.96e-06
